Rk,Player,Pos,Age,PTS,AST,STL,BLK,Tm,G,GS,MP
237,Buddy Hield,SG,29,15.6,2.8,0.9,0.3,TOT,81,32,30.9
237,Buddy Hield,SG,29,14.4,1.9,0.9,0.3,SAC,55,6,28.6
237,Buddy Hield,SG,29,18.2,4.8,1,0.4,IND,26,26,35.6
238,Haywood Highsmith,SF,25,2.3,0.3,0.1,0.2,MIA,19,1,8.6
239,George Hill,SG,35,6.2,2.2,0.8,0.1,MIL,54,17,23.2
240,Malcolm Hill,SF-SG,26,3.8,0.4,0.4,0.2,TOT,19,0,11.2
240,Malcolm Hill,SG,26,5.7,0.3,1.3,0.3,ATL,3,0,15.3
240,Malcolm Hill,SF,26,3.4,0.4,0.2,0.1,CHI,16,0,10.4
241,Solomon Hill,PF,30,0.6,0.9,0.3,0.2,ATL,13,1,10.7
242,Nate Hinton,SG,22,0,0,0,0,IND,2,0,1
243,Jaylen Hoard,SF,22,14.7,2.4,0.9,0.7,OKC,7,5,34.3
244,Aaron Holiday,PG,25,6.3,2.4,0.7,0.1,TOT,63,15,16.2
244,Aaron Holiday,PG,25,6.1,1.9,0.6,0.2,WAS,41,14,16.2
244,Aaron Holiday,PG,25,6.8,3.4,0.8,0,PHO,22,1,16.3
245,Jrue Holiday,PG,31,18.3,6.8,1.6,0.4,MIL,67,64,32.9
246,Justin Holiday,SF-SG,32,10.1,1.7,0.8,0.4,TOT,74,65,27.8
246,Justin Holiday,SF,32,11,1.8,0.7,0.4,IND,49,40,28.9
246,Justin Holiday,SG,32,8.3,1.5,0.8,0.6,SAC,25,25,25.6
247,Richaun Holmes,C,28,10.4,1.1,0.4,0.9,SAC,45,37,23.9
248,Rodney Hood,SF-SG,29,3.1,0.7,0.3,0.1,TOT,52,0,13.6
248,Rodney Hood,SF,29,3.3,0.8,0.3,0.1,MIL,39,0,14.9
248,Rodney Hood,SG,29,2.6,0.6,0.2,0.2,LAC,13,0,9.8
249,Scotty Hopson,SG,32,4,1,0,0,OKC,1,0,18
250,Al Horford,C,35,10.2,3.4,0.7,1.3,BOS,69,69,29.1
251,Talen Horton-Tucker,SG,21,10,2.7,1,0.5,LAL,60,19,25.2
